interaction,environment,device_network,sample_count,p50_ms,p95_ms,error_count,request_count,query_count,bytes,cost_usd,status,evidence,notes
I10-photo-selection,candidate-local,real-device-not-run,0,,,,,,,,pending,source-inspection,"Immediate object-URL preview is implemented; real iPhone/Android decode timing is not measured"
I12-upload,candidate-local,network-profile-not-run,0,,,,,,,,pending,unit-tests,"Real XHR progress timeout and cancel pass unit tests; no 5/2 Mbps upload baseline"
I14-save-retry,candidate-local,local-postgresql,1,,,0,,not-instrumented,,0,provisional,V02,"Idempotent double-save invariant passed; harness duration is not a request latency distribution"
I25-review-decision,candidate-local,local-postgresql,1,,,0,,not-instrumented,,0,provisional,V02,"Simultaneous reviewer invariant passed; browser task time is unmeasured"
I27-proof-viewer,candidate-local,browser-not-run,0,,,,,,,,pending,source-inspection,"Dialog focus Escape zoom pan rotate navigation and retry are implemented; device/accessibility pass pending"
I32-weekly-recap,candidate-local,synthetic-1024-and-390,2,,,0,0,0,23170,0,provisional,V09,"HTML and text total 23170 bytes; viewport rendering checked but delivery was not sent"
X01-concept2-rowerg,provider-live,local-mac-normal-network,1,6017,6017,0,1,0,not-recorded,0.00154125,provisional,V08,"Token-price subtotal only; excludes thinking tokens and retries"
X02-concept2-bikeerg-a,provider-live,local-mac-normal-network,1,4578,4578,0,1,0,not-recorded,0.00156300,provisional,V08,"HEIC converted locally to JPEG before provider call; cost is a lower bound"
X03-concept2-bikeerg-b,provider-live,local-mac-normal-network,1,7322,7322,0,1,0,not-recorded,0.00156675,provisional,V08,"HEIC converted locally to JPEG before provider call; cost is a lower bound"
X04-concept2-bikeerg-c-success,provider-live,local-mac-normal-network,1,2896,2896,0,1,0,not-recorded,0.00156675,provisional,V08,"Successful replay after a separate transient failure"
X05-garmin-strava-one-workout,provider-live,local-mac-normal-network,1,2686,2686,0,1,0,not-recorded,0.00221325,provisional,V08,"Two screenshots sent in one evidence-set call; cost is a lower bound"
X06-provider-success-aggregate,provider-live,local-mac-normal-network,5,4578,7322,0,5,0,not-recorded,0.00845100,provisional,V08,"Nearest-rank p95; tiny development corpus; excludes failed attempt and thinking tokens"
X07-provider-transient-failure,provider-live,local-mac-normal-network,1,16333,16333,1,1,0,not-recorded,not-computable,observed,V08,"Failure usage metadata was not recorded; later replay succeeded"
I01-I33-common-flows,production,required-device-and-network-matrix,0,,,,,,,,pending,none,"No 20-run cold/warm production interaction baseline exists"
